user_id,event_date,sessions,session_minutes,api_calls,tokens,tools_used,failed_requests,successful_requests,agent_runs,ide_plugin_sessions,is_weekend,spend_usd
u-06,2024-02-27,2,33.58,127,69620,3,3,124,7,5,0,0.64
u-07,2024-02-27,0,0.0,0,0,2,0,0,0,0,0,1.13
u-08,2024-02-27,3,41.69,102,60134,2,6,96,5,10,0,0.0
u-09,2024-02-27,0,0.0,0,0,1,0,0,0,0,0,1.06
u-10,2024-02-27,5,65.65,1052,659186,15,59,993,57,27,0,20.91
u-01,2024-02-28,2,27.23,114,90133,5,2,112,7,4,0,1.49
u-02,2024-02-28,4,48.13,309,148980,6,1,308,15,7,0,0.73
u-03,2024-02-28,1,7.98,43,11364,0,7,36,1,0,0,0.0
u-04,2024-02-28,4,31.63,375,197092,7,3,372,22,11,0,3.02
u-05,2024-02-28,5,42.34,612,315767,13,17,595,44,14,0,20.14
u-06,2024-02-28,2,25.82,84,46460,4,3,81,7,5,0,1.12
u-07,2024-02-28,0,0.0,0,0,0,0,0,0,0,0,1.45
u-08,2024-02-28,4,60.25,167,87772,4,5,162,8,13,0,0.0
u-09,2024-02-28,0,0.0,0,0,1,0,0,0,0,0,1.33
u-10,2024-02-28,5,57.84,777,467993,15,0,777,35,27,0,22.26
u-01,2024-02-29,2,27.72,125,76903,4,3,122,5,4,0,2.21
u-02,2024-02-29,2,24.56,140,98929,7,5,135,7,7,0,0.85
u-03,2024-02-29,0,0.0,0,0,1,0,0,0,0,0,0.0
u-04,2024-02-29,5,55.76,445,302118,7,6,439,24,12,0,2.99
u-05,2024-02-29,4,39.2,740,401192,12,24,716,33,9,0,18.54
u-06,2024-02-29,1,12.4,68,32413,2,5,63,3,1,0,0.79
u-07,2024-02-29,1,16.62,66,34672,1,8,58,1,1,0,1.44
u-08,2024-02-29,4,43.89,191,105350,4,4,187,9,9,0,0.0
u-09,2024-02-29,1,14.58,25,4719,1,5,20,0,0,0,0.7
u-10,2024-02-29,6,66.16,1369,945411,13,40,1329,64,18,0,36.66
u-01,2024-03-01,2,25.25,80,63887,5,2,78,4,5,0,1.5
u-02,2024-03-01,2,20.27,131,67694,6,1,130,6,6,0,1.12
u-03,2024-03-01,0,0.0,0,0,2,0,0,0,0,0,0.0
u-04,2024-03-01,4,37.55,307,161656,8,7,300,14,13,0,1.85
u-05,2024-03-01,5,40.99,579,361347,13,43,536,29,10,0,19.49
u-06,2024-03-01,2,22.34,117,50290,4,9,108,7,3,0,0.73
u-07,2024-03-01,1,29.86,53,26121,3,7,46,1,1,0,2.13
u-08,2024-03-01,3,45.07,91,60239,6,4,87,7,6,0,0.0
u-09,2024-03-01,0,0.0,0,0,1,0,0,0,0,0,0.87
u-10,2024-03-01,4,47.89,745,566333,14,22,723,47,13,0,31.86
u-01,2024-03-02,0,0.0,0,0,2,0,0,0,0,1,2.13
u-02,2024-03-02,2,21.44,124,70192,6,3,121,9,8,1,0.0
u-03,2024-03-02,0,0.0,0,0,0,0,0,0,0,1,0.0
u-04,2024-03-02,3,30.54,312,232276,7,0,312,13,11,1,0.0
u-05,2024-03-02,3,25.81,436,291716,11,1,435,21,14,1,0.0
u-06,2024-03-02,2,26.92,129,73578,3,8,121,6,4,1,0.53
u-07,2024-03-02,0,0.0,0,0,0,0,0,0,0,1,0.0
u-08,2024-03-02,2,19.86,97,56968,5,4,93,5,4,1,0.0
u-09,2024-03-02,0,0.0,0,0,0,0,0,0,0,1,0.68
u-10,2024-03-02,2,19.64,367,201045,12,9,358,20,10,1,0.0
